Unnamed: 0,proportion_winter_wd,proportion_winter_wnd,proportion_summer_wd,proportion_summer_wnd,bin_center
0,0.028308869,0.03618545,0.034011812,0.041465323,200
1,0.044591094,0.048812665,0.045806089,0.051682084,400
2,0.068274331,0.070863174,0.062188005,0.060104008,600
3,0.084618231,0.086882774,0.073542853,0.068295826,800
4,0.09972863,0.090463626,0.084511003,0.070873027,1000
5,0.098495128,0.079344139,0.07944878,0.072391735,1200
6,0.089613914,0.068036185,0.072804612,0.064245939,1400
7,0.079622548,0.068413117,0.070220769,0.059045515,1600
8,0.069507833,0.065209197,0.061309147,0.059229601,1800
9,0.055815962,0.048435733,0.0550341,0.052924663,2000
10,0.052053781,0.044666415,0.051061661,0.046205532,2200
11,0.039102011,0.037504712,0.043415594,0.040452851,2400
12,0.034599729,0.038070109,0.035839837,0.035390492,2600
13,0.026952017,0.033169996,0.032306827,0.034331999,2800
14,0.021401258,0.025819827,0.026910638,0.02926964,3000
15,0.017392377,0.026196758,0.023729171,0.026462331,3200
16,0.0160972,0.018658123,0.02144414,0.023839109,3400
17,0.012458369,0.015454203,0.018192364,0.020341479,3600
18,0.00992969,0.015831135,0.015063629,0.017258042,3800
19,0.007894412,0.013381078,0.013622302,0.016107506,4000
20,0.006845936,0.00961176,0.011987626,0.014496755,4200
21,0.005550759,0.007538636,0.009649863,0.012655898,4400
22,0.004748982,0.007161704,0.009157702,0.009848589,4600
23,0.004317257,0.007538636,0.00743514,0.01049289,4800
24,0.00351548,0.004711647,0.006169584,0.008237839,5000
25,0.003577156,0.003580852,0.005501652,0.007547517,5200
26,0.002343654,0.004334715,0.005185263,0.00635096,5400
27,0.002528679,0.002073125,0.004447022,0.006396981,5600
28,0.002343654,0.00320392,0.003462701,0.005246445,5800
29,0.001788578,0.00320392,0.003005695,0.00414193,6000
30,0.001110152,0.002826988,0.002689306,0.004233973,6200
31,0.001356852,0.002073125,0.002091682,0.003129458,6400
32,0.000925126,0.002826988,0.001704985,0.003313544,6600
33,0.000678426,0.001507727,0.001564368,0.003083437,6800
34,0.000308375,0.001507727,0.001458905,0.002347094,7000
35,0.000308375,0.000753864,0.000914013,0.001748815,7200
36,0.0002467,0.000565398,0.000650355,0.001518708,7400
37,0.000431726,0.000942329,0.000544892,0.001058493,7600
38,0.00012335,0.001130795,0.000580046,0.001150536,7800
39,0.00012335,0.000376932,0.000404275,0.000782365,8000
40,6.17E-05,0.000376932,0.000193349,0.000414193,8200
41,6.17E-05,0.000188466,0.000158194,0.000506236,8400
42,6.17E-05,0.000188466,0.000175772,0.000414193,8600
43,0.00012335,0,0.000140617,0.000368172,8800
44,6.17E-05,0,7.03E-05,0.000138064,9000
45,0,0,3.52E-05,0.000276129,9200
46,0,0.000188466,7.03E-05,9.20E-05,9400
47,0,0,1.76E-05,0,9600
48,0,0.000188466,7.03E-05,9.20E-05,9800
