tod,proportion_q2_2019_wd,proportion_q2_2019_wnd,proportion_q1_2019_wd,proportion_q1_2019_wnd,proportion_q4_2018_wd,proportion_q4_2018_wnd,proportion_q3_2018_wd,proportion_q3_2018_wnd,proportion_q2_2018_wd,proportion_q2_2018_wnd
0,0.013085570410298238,0.02468814968814969,0.0195822454308094,0.02753303964757709,0.019397676073037703,0.02608889549576334,0.02099997667964833,0.027593921879369813,0.0216132099939483,0.030883043682480037
1,0.006383205078194262,0.0161988911988912,0.014360313315926894,0.014317180616740088,0.01403841593549917,0.021257618552103463,0.012488048319768663,0.01789876013796961,0.009336906717385665,0.020079849694692342
2,0.004220007801695095,0.00667013167013167,0.009660574412532636,0.01762114537444934,0.009366848470476643,0.017095287646796492,0.008745131876588699,0.011963580994997048,0.008083340537736664,0.01338656646312823
3,0.003049753537359481,0.00641025641025641,0.009399477806788513,0.011013215859030838,0.008252312070192079,0.010554481938456964,0.00562020475268767,0.009695161741400206,0.004625226938704936,0.007397839361202443
4,0.003936309798219795,0.004851004851004851,0.008877284595300261,0.013215859030837005,0.007374911074223381,0.010554481938456964,0.005655185280194025,0.006494515397284112,0.004365868418777557,0.006458431188351339
5,0.01035497712684847,0.008922383922383922,0.012793733681462142,0.013215859030837005,0.009722551576950438,0.010851791288836034,0.011030526340337212,0.008172524160218762,0.009812397337252528,0.006810709253170503
6,0.018617681478066597,0.010395010395010396,0.014621409921671017,0.011013215859030838,0.016884040787289542,0.012264010703136614,0.019227629952659687,0.009446567850595071,0.016209907495461227,0.013034288398309066
7,0.04216461576651654,0.015852390852390853,0.02845953002610966,0.012114537444933921,0.043277211287645244,0.014568158168574402,0.034467479769594925,0.015008856157359933,0.034062418950462525,0.01796618130577736
8,0.04503705805170396,0.02278239778239778,0.033942558746736295,0.025330396475770924,0.04258951861512924,0.022000891928051138,0.04034420839066253,0.023336751499331905,0.030085588311576036,0.020549553781117894
9,0.03205787439270896,0.034476784476784476,0.03263707571801567,0.02973568281938326,0.03196585250177852,0.02898766166195927,0.03452578064877218,0.03430595693110842,0.02848621077202386,0.029826209488022545
10,0.03450476967268343,0.0498960498960499,0.028720626631853787,0.04185022026431718,0.03293810765947356,0.045042366582429015,0.036414729134115344,0.044622603399521454,0.033111437710728796,0.04121653358384218
11,0.04496613355083513,0.058991683991683995,0.040992167101827674,0.05286343612334802,0.04709509129713066,0.055299539170506916,0.04651244140761643,0.05369628041390883,0.04318319356790871,0.05425082198215125
12,0.05539203517855243,0.062196812196812196,0.05587467362924282,0.06497797356828194,0.0568176428740811,0.06659729448491156,0.054756185723280705,0.059227494484323046,0.0445232125875335,0.0556599342414279
13,0.0567041384446257,0.06834719334719334,0.058224543080939946,0.07709251101321586,0.051268674413089875,0.06957038798870224,0.0488561367505422,0.06774183524439886,0.04720325062678309,0.060944105213715356
14,0.07517997092095464,0.07640332640332641,0.0783289817232376,0.07378854625550661,0.06651648091059996,0.07588821168425747,0.05683169702199109,0.07330412355116372,0.0636292902221838,0.05965241897604509
15,0.07993191247916592,0.0783957033957034,0.08067885117493473,0.09361233480176212,0.07301399098885464,0.08547643823398246,0.06213707702712157,0.07510642925950095,0.06617964900146969,0.06200093940817285
16,0.08518032554345899,0.07943520443520444,0.07702349869451697,0.07268722466960352,0.07156746502252787,0.08094247064070165,0.06917982323173434,0.07053851651595662,0.07266361199965418,0.06822451855331141
17,0.09003865385297351,0.07371794871794872,0.07362924281984334,0.07378854625550661,0.0834005216978895,0.07031366136464992,0.08201767682656655,0.07274478729685217,0.08416183971643469,0.07867543447627995
18,0.08666974006170432,0.080994455994456,0.06736292428198433,0.05837004405286344,0.07235001185677022,0.06384718299390515,0.08410484830111238,0.07681551225878624,0.09008385925477652,0.08348990136214185
19,0.06798113408276889,0.06574844074844075,0.05926892950391645,0.0605726872246696,0.05781361157220773,0.05039393488925227,0.07551129871038455,0.07432957335073491,0.08411861329644679,0.07503522780648192
20,0.052094045888152064,0.05483367983367984,0.05587467362924282,0.05066079295154185,0.053142044107185205,0.04913037015014122,0.06241692124717241,0.05431776514092166,0.07115068730007781,0.061648661343353686
21,0.04032057874392709,0.035516285516285516,0.05561357702349869,0.03854625550660793,0.05480199193739625,0.045414003270402854,0.05374175042559642,0.04543053354463814,0.05679951586409614,0.051784875528417096
22,0.02985921486577538,0.03465003465003465,0.04647519582245431,0.030837004405286344,0.046288830922456725,0.03850156087408949,0.04240805951353747,0.03825238494763991,0.04504192962738826,0.04567872240488492
23,0.022270293272811093,0.029625779625779627,0.03759791122715405,0.03524229074889868,0.030116196348114774,0.029359298349933106,0.032007182668314635,0.02995556384201858,0.031468833751188724,0.03534523250352278
